date,crop_name,region,district,market_arrival,price_per_quintal,weather_temp,rainfall_mm,humidity_pct,season,festival_flag,holiday_flag,fuel_price,transport_cost,crop_yield,shelf_life_days,demand_estimate,supply_gap,spoilage_risk,crop
2025-04-24,Rice,Andhra Pradesh,Visakhapatnam,139.02,9899.36,37.5,19.0,47.0,Summer,0,0,101.17,388.1,1503,365,1515,-1375.98,0,Vegetables
2024-10-19,Potato,Telangana,Warangal,63.64,13511.08,30.5,53.0,67.2,Kharif,0,0,99.54,407.3,5000,60,1270,-1206.36,0,Cotton
2025-06-13,Rice,Maharashtra,Pune,15.71,23073.64,32.1,85.9,73.2,Summer,0,0,105.27,406.4,3099,365,924,-908.29,0,Watermelon
2025-03-30,Turmeric,Andhra Pradesh,Vijayawada,30.43,22978.59,20.8,38.0,63.8,Summer,1,1,105.78,417.6,3779,365,1797,-1766.57,0,Cucumber
2024-07-18,Potato,Telangana,Nizamabad,144.16,10741.53,29.7,109.1,56.4,Kharif,0,0,108.01,421.3,5000,60,1816,-1671.84,0,Maize
2025-04-05,Tomato,Maharashtra,Nashik,221.56,6933.03,44.6,15.5,53.2,Summer,0,0,107.69,450.7,5000,5,1232,-1010.44,1,Watermelon
2025-06-02,Brinjal,Tamil Nadu,Coimbatore,345.56,5829.65,33.4,68.8,88.1,Summer,0,0,95.85,380.8,5000,5,1348,-1002.44,1,Watermelon
2025-01-16,Cabbage,Karnataka,Bengaluru Urban,24.43,19221.16,20.1,32.6,54.7,Rabi,0,0,104.04,453.6,5000,7,1005,-980.57,0,Barley
2025-06-24,Onion,Tamil Nadu,Madurai,121.64,8803.29,40.1,132.2,68.2,Summer,0,0,89.4,360.9,5000,30,1005,-883.36,0,Cucumber
2024-10-21,Onion,Telangana,Karimnagar,94.92,10457.71,29.7,148.4,85.4,Kharif,0,0,100.35,440.6,5000,30,1106,-1011.08,0,Rice
2024-07-23,Rice,Tamil Nadu,Chennai,65.97,12851.52,28.4,39.4,56.3,Kharif,0,0,102.0,405.3,3005,365,1208,-1142.03,0,Rice
2024-12-01,Chilli,Maharashtra,Nagpur,243.4,7210.88,22.7,3.1,40.1,Rabi,0,1,91.55,424.1,2183,180,1444,-1200.6,0,Chickpea
2024-06-23,Maize,Maharashtra,Pune,44.96,16008.66,39.3,53.6,90.7,Summer,0,1,99.87,442.2,4436,180,1270,-1225.04,0,Vegetables
2024-12-11,Rice,Maharashtra,Nagpur,73.34,13140.96,29.8,34.4,30.2,Rabi,0,0,99.24,404.9,1914,365,1376,-1302.66,0,Chickpea
2025-04-18,Cabbage,Karnataka,Hassan,73.13,13635.77,44.3,6.5,40.6,Summer,0,0,103.47,414.9,5000,7,1479,-1405.87,1,Cucumber
2024-09-07,Rice,Andhra Pradesh,Visakhapatnam,125.49,8731.8,28.7,70.2,91.3,Kharif,0,0,93.27,359.5,3286,365,1080,-954.51,0,Groundnut
2024-09-25,Wheat,Andhra Pradesh,Guntur,98.05,14999.27,31.3,151.1,69.7,Kharif,0,0,101.91,433.7,923,365,2402,-2303.95,0,Groundnut
2024-07-22,Turmeric,Karnataka,Tumakuru,86.18,11377.71,28.6,126.4,82.1,Kharif,0,0,88.36,375.3,4922,365,1225,-1138.82,0,Cotton
2025-04-22,Chilli,Telangana,Karimnagar,181.72,8695.47,41.3,7.7,53.1,Summer,0,0,91.03,369.3,1511,180,1467,-1285.28,0,Vegetables
2024-11-29,Potato,Karnataka,Bengaluru Urban,174.51,6707.82,26.4,9.7,33.3,Rabi,0,0,107.74,478.1,5000,60,859,-684.49,0,Chickpea
2025-04-08,Onion,Maharashtra,Nashik,6.94,39572.24,41.7,17.9,51.6,Summer,0,0,105.16,445.8,5000,30,1215,-1208.06,0,Cucumber
2024-08-23,Maize,Tamil Nadu,Madurai,85.39,11621.2,28.1,48.9,76.9,Kharif,0,0,103.22,439.9,3859,180,1240,-1154.61,0,Groundnut
2025-04-24,Brinjal,Telangana,Karimnagar,132.77,9781.97,36.9,14.9,44.5,Summer,0,0,106.68,452.6,5000,5,1411,-1278.23,1,Watermelon
2025-06-29,Tomato,Telangana,Hyderabad,168.61,9616.84,41.6,90.8,90.7,Summer,0,1,101.89,448.1,5000,5,1675,-1506.39,1,Vegetables
2024-11-09,Turmeric,Karnataka,Bengaluru Urban,261.15,6232.51,22.3,28.9,39.8,Rabi,0,0,88.53,387.9,4383,365,1193,-931.85,0,Wheat
2024-09-17,Cabbage,Karnataka,Bengaluru Rural,218.74,8821.65,39.9,77.0,61.8,Kharif,0,0,100.25,455.1,5000,7,1973,-1754.26,1,Maize
2025-05-02,Maize,Tamil Nadu,Salem,193.13,7662.29,40.4,19.8,29.2,Summer,0,0,99.4,446.9,2823,180,1168,-974.87,0,Cucumber
2024-08-13,Wheat,Telangana,Warangal,59.65,19903.61,39.3,165.8,89.7,Kharif,0,0,108.09,444.3,1071,365,2602,-2542.35,0,Groundnut
2025-06-17,Brinjal,Maharashtra,Nagpur,17.16,26157.8,37.8,163.2,90.6,Summer,0,0,95.44,387.8,5000,5,1321,-1303.84,1,Watermelon
2025-06-18,Cabbage,Tamil Nadu,Tiruppur,115.71,13330.03,32.0,126.3,56.2,Summer,0,0,88.82,404.9,5000,7,2266,-2150.29,0,Cucumber
2024-12-22,Chilli,Telangana,Warangal,135.13,7890.11,29.2,8.6,51.8,Rabi,0,1,89.88,339.2,2369,180,952,-816.87,0,Wheat
2025-02-16,Maize,Andhra Pradesh,Vijayawada,260.08,7126.35,29.5,10.8,45.4,Rabi,0,1,89.73,336.3,3327,180,1449,-1188.92,0,Mustard
2024-07-27,Onion,Telangana,Khammam,55.18,14188.91,33.7,51.2,61.3,Kharif,0,0,93.51,396.7,5000,30,1220,-1164.82,0,Rice
2025-04-02,Rice,Tamil Nadu,Salem,25.51,22841.08,38.0,5.0,35.7,Summer,0,0,104.67,387.6,1361,365,1506,-1480.49,0,Watermelon
2025-04-02,Maize,Maharashtra,Nagpur,169.87,9344.9,38.7,2.0,39.7,Summer,0,0,98.42,380.1,1995,180,1656,-1486.13,0,Vegetables
2025-03-11,Tomato,Andhra Pradesh,Visakhapatnam,53.07,14082.86,24.5,25.0,47.6,Summer,0,0,106.84,453.2,5000,5,1130,-1076.93,0,Cucumber
